ParlaMint-FR_2018-10-15-O1018.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-15-O1018.u400	In my opinion, ladies and gentlemen, you are making a serious mistake. It wasn't your reform at first, and you could have abandoned it; The President of the Republic himself had the intuition, but Bercy played the role he was known to have. Too bad!
ParlaMint-FR_2018-10-15-O1018.u401	I call Mrs Sabine Rubin to support Amendment No. 1672.
ParlaMint-FR_2018-10-15-O1018.u402	We're against...
ParlaMint-FR_2018-10-15-O1018.u403	[[Rires on the benches of the MODEM and LaREM groups as well as on several benches of the LR group]] Against everything!
ParlaMint-FR_2018-10-15-O1018.u404	Go on, Mrs. Rubin!
ParlaMint-FR_2018-10-15-O1018.u405	This mechanism is also much simpler, since recovery would be the responsibility of the tax administration – which, we have just recalled, is very effective. Amounts owing would be deducted directly from taxpayers' bank accounts.
ParlaMint-FR_2018-10-15-O1018.u406	Thank you, my dear colleague.
ParlaMint-FR_2018-10-15-O1018.u407	For all the reasons that have been mentioned, we oppose the mechanism of sampling at source, but we propose another solution: contemporary sampling. This scheme has two of the advantages advanced in favour of the source levy: the tax would be paid on the taxpayer's current income and in an automated manner. However, unlike the levy at source, this mechanism does not involve the company in the collection of the tax: it is therefore more confidential. Wait a minute: it is a simple, innovative mechanism that relies on the modernity of digital tools. The majority of taxpayers are already monthly and the exchange of information is automated. It would therefore be sufficient for the tax administration, each quarter, to take directly into the taxpayer's bank account what corresponds to their income tax.
ParlaMint-FR_2018-10-15-O1018.u408	What is the opinion of the committee?
ParlaMint-FR_2018-10-15-O1018.u409	These amendments aim either to delete the SAP or to remove the provisions of its implementation or to adopt the so-called "graded" scenario, which has already been rejected. The committee's opinion is therefore unfavourable.
ParlaMint-FR_2018-10-15-O1018.u410	What is the Government's opinion?
ParlaMint-FR_2018-10-15-O1018.u411	Unfavorable.
ParlaMint-FR_2018-10-15-O1018.u412	Mr Jean-Paul Mattei has the floor.
ParlaMint-FR_2018-10-15-O1018.u413	[[Applause on a few benches of the LaREM group]] [[Applause on several benches of the MODEM and LaREM groups]] We're really turning around because we've already talked about hours during spring sampling. I also think that we do not have the same knowledge of companies and employees: everyone today is ready for this reform. It's obvious! Let us stop turning around: this reform will allow the modernization of the income tax, which will be paid at the time the income is collected. Finally, a positive reform for all taxpayers!
ParlaMint-FR_2018-10-15-O1018.u414	Mr Jean-Louis Bourlanges has the floor.
ParlaMint-FR_2018-10-15-O1018.u415	I did not wish to intervene, but I would like to express my disagreement with what my colleague Jean-Paul Mattei has just said. I will be clear: I am fundamentally opposed to this reform, but I believe that to the point where we are at, we must go to the end, because its closure would cause an even greater disorder, particularly in tax services. That is why I was rather pleased that the Government decided to carry it out. But let us not be told that this is progress!
ParlaMint-FR_2018-10-15-O1018.u416	All right!
ParlaMint-FR_2018-10-15-O1018.u417	[[Applause on a few benches of the LR group]] This reform will have three consequences: first, each will pay annual growth and inflation, which is 3% more than it would have paid in the old system; Second, the beneficiaries will be the heirs; Third, those who will pay the young are the young! This is hardly positive! We are going now because we are committed to it and it is impossible to stay in the middle of the ford, but no one will sell me this reform as progress!
ParlaMint-FR_2018-10-15-O1018.u418	Further discussion was postponed until the next sitting.
ParlaMint-FR_2018-10-15-O1018.u419	Next meeting, this afternoon, at 3 p.m.: Questions to the Government; Further discussion of the first part of the 2019 Finance Bill. The meeting is adjourned.
