ParlaMint-FR_2018-10-18-O1024.u1	The next item is the continuation of the discussion of the 2019 Finance Bill (No. 1255, 1302).
ParlaMint-FR_2018-10-18-O1024.u428	We still have a little over an hour and thirty left by then; Perhaps we could go to the end of Article 7 to discuss TEOM, the tax on the removal of household waste. In any case, we must adopt a pace of work which, of course, does not prevent us from considering the difficult issues we have to deal with. [[Ms Olivia Gregoire applauds]] Perhaps you could suspend the meeting very briefly, Mr President, so that the representatives of the groups can agree on the pace of our work.
ParlaMint-FR_2018-10-18-O1024.u429	Of course, I agree with you, Mr.President Woerth: I myself alerted our House to this issue at the beginning of the sitting. For the sake of the proper organization of our debates, I propose that you finish with Rule 6 before suspending the sitting for a few minutes. However, in order to make this suspension useful and effective, I call on the leaders of the groups to come closer to the Chairman and the rapporteur-general of the Committee on Finance. If everyone gets stale, the suspension won't be of any interest.
ParlaMint-FR_2018-10-18-O1024.u430	I note that the same amendments were adopted unanimously. I now have before me a number of amendments, Nos 1311, 1530, 1557 and 2359, which can be discussed jointly. Amendments Nos 1311, 1530 and 1557 are identical. They are the subject of a sub-amendment No 2590. I call Mr Max Mathiasin to support Amendment No. 1311.
ParlaMint-FR_2018-10-18-O1024.u431	I am going to make an effort of brevity as Mr Woerth begins to become impatient – I thought the overseas was worth a day or more. Moreover, for having attended the debates in the Chamber or for watching them on television, I can assure you that the ultra-marines have not been the most prolixed.
ParlaMint-FR_2018-10-18-O1024.u432	The purpose of this amendment is to include the industrial sectors in the list of sectors benefiting from the increased tax reductions of the ZFANG. The industry sector is made up of 75 % of craft enterprises in the production, processing and repair sectors. You are well aware of the subject, minister, and that is why I think it is an oversight on your part. You will be able to see, Mr rapporteur-general, that we are in a good state of mind.
ParlaMint-FR_2018-10-18-O1024.u433	I call Mr Olivier Serva to support Amendment No. 1530.
ParlaMint-FR_2018-10-18-O1024.u434	The industrial sectors have been added to the list of sectors exempt from employers' social security contributions. In order to respect the parallelism of forms, it is therefore quite natural to proceed in the same way with regard to the free zones of new-generation activity. It must be an oversight.
ParlaMint-FR_2018-10-18-O1024.u435	I call Mr Letchimy to support Amendment No. 1557.
ParlaMint-FR_2018-10-18-O1024.u436	I welcome your decision, Madam Minister, to extend to the activities of boating and pleasure activities the benefit of the reinforced discounts of the ZFANG. We cannot ignore our own geography, especially the sea, and if activities can flourish overseas, they are those. It's just, uh, Messrs. Serva and Mathiasin are right: how can we talk about development by leaving out industrialization? In the event that industrial activities, i.e. production at all levels, are not included in the sectors benefiting from the increased tax reductions of the ZFANG, they will have to be added. This means promoting internal economic development, since endogenous development can structure a new local dynamic. Trust must be restored; By adopting this amendment, you will take another step in this direction.
ParlaMint-FR_2018-10-18-O1024.u437	The Minister has the floor to support sub-amendment No. 2590.
ParlaMint-FR_2018-10-18-O1024.u438	I propose to take into account the industrial aspect, but by specifying the content. We intend to extend the scheme to the transformation of products intended for construction, in particular for shipbuilding – this is to promote blue growth, which is expected in Guadeloupe – as well as to cosmetic and pharmaceutical production, because I believe in this industrial sector in which the overseas communities can produce excellence thanks to the maritime wealth and biodiversity at their disposal.
ParlaMint-FR_2018-10-18-O1024.u439	Amendment No 2359 is being defended. What is the opinion of the committee?
ParlaMint-FR_2018-10-18-O1024.u440	Like the minister, I would like us to support even more sectors that are particularly promising for the overseas sector, such as shipbuilding and cosmetics. The committee is therefore in favour of the sub-amendment and the identical amendments that have been tabled. As for Amendment No 2359, which is slightly different, it should be withdrawn.
