ParlaMint-ES_2015-04-29-CD150429.u1	The meeting was resumed.
ParlaMint-ES_2015-04-29-CD150429.u138	Thank you very much, Mr President. Thank you very much, Mr. Martin. Perhaps what you would like is for us to follow the model of the Socialist Party, the model - do you remember? - of the road agreement with the Balearic Government, which in 2005 unilaterally annulled another socialist government, which was also laid down - if I may say so - by the courts and left a debt of 90 million euros; or the model of the Majorca train and the light train of the Bay of Palma, for which they offered 480 million and never again knew. You have missed the truth, you have missed the truth before all the Spaniards and citizens of the Balearic Islands, because the government of Mariano Rajoy allocates in 2015 to investments 9 % more than it was destined in 2011. Yes, Your Honor. Moreover, since Fomento we have allocated more than 2 billion in this legislature, of which almost 1,800 are for investments; to roads, 136 million - we have paid, by the way, the 90 of the road agreement - to the Majorca train, 19 million. We have worked intensively to ensure the mobility of the residents of the Balearic Islands, investing a total of 358 million euros to date, which will reach 471 in the entire legislature. In Mallorca we found that the cruises of more than 360 meters could not be attended and in Ibiza there were problems in the operation of the mixed commercial traffics. For this reason, we have allocated more than 160 million to the ports; to airports, more than 55 only in Palma de Mallorca, and finally, to housing, 63 million euros. I'm sure you don't think so, Your Honor, but we're certainly proud of what we're doing. The Ministry of Industry has allocated 270 million; the Ministry of Agriculture, 149. Finally, Your Honor, this Government, despite the crisis and the debts that have left us, is promoting the quality of life and well-being of all the citizens of the Balearic Islands. From here I want to convey my affection to the citizens who yesterday had an accident at sea and who, thanks to all the public services, especially to Salvamento Marítimo, Red Cross, the State Security Forces and Corpses and emergency services of the community, are today safe in their homes. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u139	Thank you, Minister. - OF THE DEVELOPED WOMEN'S MUCH SANTAMARIA, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE MINISTER OF FOOD: WHAT DATE DOES THE GOVERNMENT PROVIDE TO FINALIZE THE WORK OF ENLARGEMENT OF THE LITORAL ROUND IN THE MONTJUIC-EL MORROT? [[File number 180/001294]]
ParlaMint-ES_2015-04-29-CD150429.u140	She asked the Minister for Development to ask Mrs Lourdes Muñoz of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u141	Madam Minister, I am asking you this question because if your Government had continued with the implementation of this project, you would have already opened the expansion of the coastal round, and now we do not even know the date. On what date does the Government plan to complete the extension of the coastal round on the Montjuic-El Morrot stretch?
ParlaMint-ES_2015-04-29-CD150429.u142	Thank you, honourable Member. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u143	Thank you very much, Mr President. Mrs Muñoz, this government has worked intensively in this legislature in Catalonia, you know it well. Of the 9 billion budget, 5,730 have been in Barcelona and many of the actions have been carried out in the urban environment. We are working to draft the project and start work on the expansion of the coastal round. I imagine you are asking here today - it has not been agreed until now, after three years and peak - because you have seen that there is an agreement between the institutions.
ParlaMint-ES_2015-04-29-CD150429.u144	Thank you, Minister. Madam Member of the Commission.
ParlaMint-ES_2015-04-29-CD150429.u145	In this section of the round, the entrance through the coast to the center of Barcelona, great retentions are generated. At the end of the last legislature, a draft consensus was under way. With a four-year planning, the second informational study was ready, half a year remained of construction project, bidding and three years of work. But what happened? That both right-wing, Catalan and Spanish, have stopped this process because they have been on their backs. For three years, you had turned your back on Catalonia with your attitudes of not having a dialogue with a government because of being a nationalist, and your counterpart, the mayor of Barcelona, with his independence agenda, did not sit with the Spanish government either. You reacted after the great sovereignist demonstrations, but your answer is that you visit us more, you take more photos, but the works are still delayed and dateless. After this paralysis they have reached an agreement, it is true, a very bad agreement for Barcelona. Barcelona has to pay more and supposes to start again and delay this process further. Meanwhile, the citizens of Barcelona continue with the collapses in the round. This has not been answered, we have no date and we have lost a legislature. Look, all of Barcelona's major infrastructures are either dated or delayed; neither the Sagrera station nor Sants station nor access to the port. When you want to be a good negotiator, you know how to dialogue and reach agreements, but with Barcelona the agreements do not arrive. I don't know if he's doing the same thing. You are minister of all the people who live in Spain, also of those we live in Barcelona, also of Catalans and Catalans. In addition you are responsible for this issue, because it is the one that has exclusive competence over the round, and at least it is co-responsible with Mayor Trias that the expansion of the round is not finished. Accelerate the works and do not generate any more detachment. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u146	Thank you, honourable Member. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u147	Thank you very much, Mr President. Thank you very much, Mrs. Muñoz. The truth is that in terms of infrastructure in Barcelona you are not to give lessons, because if I am listing you one by one the works that were stopped when I arrived and that I had to start up would not give me time in two minutes or an hour. But above all, do not try to give lessons on the subject of El Morrot. In November 2007, they began drafting the information study and in December 2011, when we arrived at the government, they had done absolutely nothing, there was no project, there was nothing, and we managed to unlock it and reach agreements with the City Council of Barcelona. On 31 March we signed the proposal for the transfer of the railway freight facilities from Barcelona to Morrot and the transformation of the freed land for the enjoyment of all citizens, which is very important. This solution is achieved with urban integration, facilitates urban development and industrial development, increases the capacity of the coastal round and improves connections. Once this agreement is signed, as you know, what we are doing is starting the drafting of the project and construction, if possible, throughout this year. But we've done a lot more. We have improved the link of El Prat del Llobregat; we have started the works of the new south road access to the port of Barcelona of more than 130 million, which you were unable to start up; the link between the highway of the Lower Llobregat and the AP-7 motorway in Castellbisbal; the variant of Vallirana, which was stopped; the highway connecting the coastal round and the C-32 motorway in Barcelona; the orbital highway of Barcelona, whose works on the intermediate stretch between Olesa de Montserrat and Viladecavalls we have restarted last week. Your Honor, if we don't do anything else than... [[applause.-Mr.Canongia Gerona: It's not true, it's not true!]]
