ParlaMint-FR_2017-12-12-O1094.u1	Mrs Laurence Dumont has the floor for the New Left Group.
ParlaMint-FR_2017-12-12-O1094.u233	Apart from the fact that this reform is totally useless, it will change the relationship between the French and the tax system. Starting in 2019, they will no longer know the amount of tax they pay: the latter will become painless and it will be easy to increase it discreetly. The direct relationship between the taxpayer and the State, which is at the heart of the principle of consent to tax, will disappear as a result. However, consent to tax is one of our founding principles. Moreover, it is a completely unfair reform for businesses. Without asking for anything and with many other concerns, they are asked to replace the state with force by collecting income tax on its behalf. The General Inspectorate of Finance estimates the cost for businesses to be 400 million, but it could reach significantly higher amounts that would exceed one billion euros each year – at their expense. As you yourself know, it is SMEs and TPEs that will essentially bear the weight of such a burden. Moreover, it is a reform that will raise issues of confidentiality, which was said during the discussion of the text. Tomorrow, informed of the tax rate, the employer will be able to make an idea, good or bad, of the couple's income and not only of the remuneration of his employee. This information will therefore affect the career development, promotion, transfer, promotion or remuneration of employees. Tomorrow, two employees who hold the same position and receive the same gross salary will receive two pay slips whose net salary will be different. Finally, it is a reform of incredible complexity that will multiply the problems. You were not able to answer all our questions: what of the white year in 2018? How can we prevent the French from giving up in 2018 and 2019 to undertake work or, in 2018, to make donations to associations when they are no longer entitled to a tax deduction? [[Applause on the benches of the LR group]] I could develop for hours the innumerable drawbacks and shortcomings of this reform, but, ladies and gentlemen, I will only ask you one last time to give up this vain and grievous reform. Otherwise, it is the grimace soup that the French will have to swallow as early as January 2019, when they will discover their payroll and the Kafkaian troubles that the reform will provoke. Our group will therefore not vote for this PLFR.
ParlaMint-FR_2017-12-12-O1094.u234	Bravo!
ParlaMint-FR_2017-12-12-O1094.u235	We have just heard the last explanation of vote and, before we put the bill to the vote, I would like to inform you that we have spent twenty-six hours and fourteen minutes examining this bill, that 524 amendments have been considered, of which 145 have been adopted. [[Applause on the benches of the REM group]] The point raised by several deputies concerning the tabling of the Government's amendments beyond the deadline of the committee was raised this morning at the Conference of Presidents. I invite all those who want to change this to support the institutional reforms that we have launched.
ParlaMint-FR_2017-12-12-O1094.u236	It's too easy!
ParlaMint-FR_2017-12-12-O1094.u237	I put the whole bill to the vote.
ParlaMint-FR_2017-12-12-O1094.u238	The meeting was suspended.
ParlaMint-FR_2017-12-12-O1094.u239	[[The sitting was suspended at 17.05 p.m. and resumed at 17.15 p.m. with Ms Carole Bureau-Bonnard in the chair.]]
ParlaMint-FR_2017-12-12-O1094.u240	The meeting was resumed.
ParlaMint-FR_2017-12-12-O1094.u241	The next item is the debate on the draft law on student guidance and success (No 391, 446, 436).
ParlaMint-FR_2017-12-12-O1094.u242	The Minister for Higher Education, Research and Innovation has the floor.
