ParlaMint-FR_2017-11-14-O1054.u1	The next item is the discussion, for final reading, of the 2017 amending finance bill (No. 379).
ParlaMint-FR_2017-11-14-O1054.u318	It is all the more shocking that, as you know, the departments, on behalf of the State, finance the three individual solidarity grants, RSA, APA and PCH, on their own funds, not to mention the exponential burden of financing the policy of receiving unaccompanied minors, which Damien Abad mentioned. While everyone agrees that the financial situation of a large majority of departments is unsustainable, no solution is outlined. Your silence on this question, Minister of State, will lead to the asphyxiation of the most fragile departments and will actually accentuate the territorial divide between peripheral France and that of the metropolises. Under these conditions and in the absence of answers, departments with the least resources will be unable to balance their operating budgets as early as 2018. They will be forced to abandon entire sections of their policies in favour of education, culture, sport or associative life. They will also have to give up the partnerships that bind them to other communities, even though the NOTRE Act has confirmed their territorial cohesion competences. Finally, they will, of course, be forced to review their investments downwards. This will be the case with Cantal, which I know well, despite the fact that its management efforts have been recognised by the Regional Chamber of Accounts. Hence my question: when are you going to make concrete proposals to solve the question of funding not only the RSA but the three solidarity allocations, on the one hand, and on the other hand, to correct the inequalities of wealth between the departments, which everyone agrees to recognize? [[Applause on the benches of the LR group]] Time's running out. Tomorrow, it'll be too late. And it is not the announcement of a support fund that will be halved from the previous year that will solve the problem.
ParlaMint-FR_2017-11-14-O1054.u319	All right.
ParlaMint-FR_2017-11-14-O1054.u320	Mr Gérard Collomb, Minister of State, has the floor.
ParlaMint-FR_2017-11-14-O1054.u321	When we look at the evolution of local authorities, we can see, for the departments, that despite some signs of improvement such as the rise in gross savings rates in 2016, which again, after historical declines, reached 11.8% – and despite the increase in tax revenues – or the stabilization of operating expenditure in the same year, the situation in a number of departments remains, in fact, very fragile.
ParlaMint-FR_2017-11-14-O1054.u322	More than fragile.
ParlaMint-FR_2017-11-14-O1054.u323	Which ones?
ParlaMint-FR_2017-11-14-O1054.u324	In order to take account of the structural difficulties faced by the departments, the difficulties arising from the need to finance the expenditure of individual solidarity allowances, the Government wished to provide exceptional support to those of them, as well as to the communities in metropolitan and overseas areas whose financial situation is tense.
ParlaMint-FR_2017-11-14-O1054.u325	But it's structural!
ParlaMint-FR_2017-11-14-O1054.u326	This mobilization will take place within the framework of the year-end amending finance bill. This will amount to EUR 100 million.
ParlaMint-FR_2017-11-14-O1054.u327	One hundred million? That's not enough!
ParlaMint-FR_2017-11-14-O1054.u328	But that's nothing!
ParlaMint-FR_2017-11-14-O1054.u329	[[Smile]] Oh, no, it's nothing... It will benefit departments that combine degraded financial indicators and a burden of individual solidarity allowances above the national average. [[Applause on the benches of the REM and MODEM groups]] In the future, the Government will focus on finding lasting solutions. You know that this is one of the tasks that was given to the mission preparatory to the financial pact State-territorial collectivities entrusted to Alain Richard and Dominique Bur.
ParlaMint-FR_2017-11-14-O1054.u330	We come to the question of the Group of the Democratic and Related Movement. Mr Marc Fesneau has the floor.
ParlaMint-FR_2017-11-14-O1054.u331	I want to ask you, Minister of State, about the finances of our communities. For years, local elected representatives have seen a profound change in their institutional and financial landscape, marked by the abolition of the business tax, replaced by a number of new taxes of a local or national nature, by the abolition of the housing tax for 80% of the population, by a mechanism of relief introduced from 2018, as well as by a profound evolution of the institutional map due to the NOTRe law. This led in particular to changes in the intercommunal map, with the creation of new municipalities, the decrease in the number of regions, and a new articulation of competences between the different levels of communities. This is the picture we have before us. In the course of this great upheaval, only the question of finance has, in fact, never been really addressed. The lack of real political will on the part of successive governments, the inability of our local authorities and their representative associations to agree on the reforms to be carried out, the immeasurable nature of the delay – let us consider only the revalorisation of rental values, which has been pending for almost forty-five years! – place the Government and our majority before a particular responsibility. It is difficult to see how we can continue in this way in a sustainable manner without calling into question the legibility, the sustainability of our communities' financing methods, their relationship with the local taxpayer, the justice of local taxes and, ultimately, the citizens' acceptance of local taxation in our territories. In addition, there are two phenomena that should not be overlooked: the now great resistance of our fellow citizens to taxation, whether national or local, and the profound evolution of lifestyles as well as of our socio-economic organizations, which mean that it is no longer possible to base our local taxation on the historical architecture of what has been rightly called the four old ones. We will not be able to meet such challenges with simple adjustments. In my view, we will have to combine financial autonomy and dynamic taxes that will replace those in force, legibility for local and national taxpayers, taking into account territorial specificities and equalization mechanisms. [[Applause on the banks of the MODEM group and a few benches of the REM group]] Mr Minister of State, my question is simple: how do you envisage, from both a method and a substance point of view, addressing this issue and how do you intend to involve national representation and local elected representatives in this long-awaited overhaul of our finances and local taxation?
