ParlaMint-BG_2022-02-02.u1	For registration colleagues online: Desislava Taneva?
ParlaMint-BG_2022-02-02.u366	Thanks for the opportunity. Mr. Chairman, ladies and gentlemen of the House! My line because examples were given, and they're not complete. The example of deepening was given, but I will tell you something else that is extremely disturbing and must be paid serious attention to it, because, like the actions of the former employees, we had inhouse orders, we had billions of dollars in advance from the state for illegal highway construction. That's almost proven. We have another fact. Half a billion leva, given for repair of particularly dangerous dams in Bulgaria, and what is the score? It's nice to hear from everyone. The balance against these half a billion levs, of course, you can guess that they have been allocated again. Half a billion leva, on the one hand, a legally renovated particularly dangerous dam in Bulgaria of 419 especially dangerous and 6844. So here, too, responsibility should be taken. It is the responsibility and work of the National Assembly to debate, to discuss these topics, to refer to the relevant bodies, the committees working with the National Assembly, so that the institutions concerned can do their job and not so that such amounts happen, because we want, possible, hopefully, and even wish to have investigations, are a fact to prove to the public that this is not a midday robbery, these half a billion, but have gone on purpose for distribution and for other reasons against half a billion we have only one legally renovated dam. Thank you.
ParlaMint-BG_2022-02-02.u367	Thank you, Mr. Chenchev. For a replica "Nastimir Ananiev."
ParlaMint-BG_2022-02-02.u368	Dear Mr. Chairman! Dear Mr. Belev, you missed to say something to the MPs from GERB, who are complaining about the electricity of the municipalities, that an hour and a half ago ADFI announced that it will do a check in all municipalities that have stated that they have no money for electricity. We'll see if that's true. It turns out that immediately. 30 minutes later, the mayor of Stara Zagora Zhivko Todorov said that Stara Zagora will not introduce a street lighting regime. [[Applause from "We are continuing the Change."]] Is this one of these 90 municipalities and how many will follow? Thank you. [[Applause from.. We continue the Change.............................................. People's representative Manoil Manev wants the floor.]]
ParlaMint-BG_2022-02-02.u369	You don't have time, Mr. Manev. [[Reply from the National Representative Manoil Manev.]] And the procedure takes the time of the group, you don't. [[Noise and lines from GERB-SDS.]] Mr. Anastasov, come in for a third line.
ParlaMint-BG_2022-02-02.u370	Thank you, Mr. Chairman. Unlike the previous one, I will adhere strictly to the line, I will respond to Mr. Belev. Mr. Belev, it is really unfortunate when a ticket for entry into the National Assembly is an article by "Capital" which, by the way, has been disproved even by the debate with "Democratic Bulgaria", even they have retreated from this position. Do you know why? You're a man of the sea, I'm not. I know that most people who live by the sea can't swim about the irony of fate, but at least they need to know what's going on there. If you log on to the Marin traffic company a site that is absolutely public and has GPS on all ships, including the drag, you will see that the TPP is the correct name of the port, the only one that is surrounded by the drag of at least two miles away. And otherwise the dredge has dredged absolutely everything all 60 stands. It would have been nice if you'd at least bothered to see from the previous National Assembly what a debate was led here because this bubble burst. And now you're dating a sleeping balloon to talk about another subject to justify sitting in this room. I'm sorry, but this is really untenable, and you should be a little embarrassed as a Varna man that you don't know your own area. Thank you. [[Applause from DPS.]]
ParlaMint-BG_2022-02-02.u371	Here you go, Mr. Belev.
ParlaMint-BG_2022-02-02.u372	I don't know why you're so sensitive about the theme TPP Varna, Mr. Anastasov. You're an energy specialist, maybe that's why. When the TPP is said in Varna, the port of the TPP is understood. Yeah, the dredge doesn't go that way. We don't read Capital. The darling doesn't go through there! It is clear to all when doing this dredging, who can only be served. The state's insight at the time was that this port was built with a perspective and with such a deep-drenched wall that could withstand a similar excavation. Thank you.
ParlaMint-BG_2022-02-02.u373	Thank you, Mr. Belev. [[Reply.]] Mr. Ivanov, why? [[Reply from the MP Alexander Ivanov, away from the microphones.]] Did you mention that? Oh, it's a touchy-feely? [[Reply from the MP Alexander Ivanov, away from the microphones.]] How? [[Reply from the MP Alexander Ivanov, away from the microphones.]] You were insulted by the Did you come to Varna?
ParlaMint-BG_2022-02-02.u374	At the very least, it hit me when you asked me something that I had nothing to do with, because I'm a Burgasian.
ParlaMint-BG_2022-02-02.u375	No, look... And you're Burgas and you're offended by Varna? [[Laughter and excitement.]]
ParlaMint-BG_2022-02-02.u376	Yeah.
ParlaMint-BG_2022-02-02.u377	Come on, please! It's not serious.
ParlaMint-BG_2022-02-02.u378	Thank you, Mr. Chairman.
ParlaMint-BG_2022-02-02.u379	Mr. Ivanov! Mr. Ivanov, you can't really have a personal explanation by name... [[Reply from the MP Alexander Ivanov, away from the microphones.]] ...and hurt! Stop it! You can't...
ParlaMint-BG_2022-02-02.u380	He asked me for 350 million. lv.
ParlaMint-BG_2022-02-02.u381	He didn't ask you for 350 million. lv. I have now forgotten the exact text. [[Reply from the MP Alexander Ivanov, away from the microphones.]] Please, Mr. Ivanov, really... [[Reply from the MP Alexander Ivanov, away from the microphones.]] And you and I will take a look at the transcript, wait for it now, and for Mr. Manev, but we can't have a personal explanation at every mention.
ParlaMint-BG_2022-02-02.u382	Then why did he mention me in his speech? He knows the rules.
ParlaMint-BG_2022-02-02.u383	At one point he mentioned other names, he mentioned MPs. There's no forest of hands, thank God.
ParlaMint-BG_2022-02-02.u384	He only mentioned me.
ParlaMint-BG_2022-02-02.u385	But it didn't affect you.
ParlaMint-BG_2022-02-02.u386	I feel affected.
ParlaMint-BG_2022-02-02.u387	No! Enough with this: I feel affected. [[The President turns off the microphones. The orator keeps talking on off microphones. Noise and lines by GERB-SDS.]]
ParlaMint-BG_2022-02-02.u388	Procedure!
ParlaMint-BG_2022-02-02.u389	There's no time! We're waiting for the transcript and you'll see. Mrs. Tsoneva, come in for a statement. [[Noise and lines.]] Mrs. Tsoneva, wait for Mr. Hamid's procedure first and I'll give you the floor.
ParlaMint-BG_2022-02-02.u390	Dear Mr. Chairman! On the left, on the right, in the middle, we heard criticism of the In House procedure from everywhere. One of the first drafts that were submitted to this National Assembly was a draft by the Parliamentary Group of the Movement for Rights and Freedoms in the Public Procurement Act, where we propose a complete abolition of the procedure. I ask you to make sure that this law sees the light of day, because from being assigned to committees, we do not see this law being moved on the agenda of any committee. We're all against inhouse procedures, and you're not moving the most important law.
