ParlaMint-NL_2017-11-09-tweedekamer-16.u1	I give the floor to the Minister to first inform the Chamber of the letter requested this morning.
ParlaMint-NL_2017-11-09-tweedekamer-16.u791	Shortly, Mr Baudet.
ParlaMint-NL_2017-11-09-tweedekamer-16.u792	Look at what France does. The French Government is making explicit efforts to maintain and even bring down the 70%. What will be the commitment of our Finance Minister? It is, of course, true that Basel is a meeting of bankers and central banks and so on. Is the Minister going to put pressure on that or not? That's important to know.
ParlaMint-NL_2017-11-09-tweedekamer-16.u793	Maybe I should add two more things. Then it will not be complete, but it will be a bit of an answer to Mr Baudet's question. There is a continuous motion from your Chamber asking the government to inform the Chamber if new developments give rise to this. I'll send that letter as soon as there's any new developments. I expect that to be before the end of the year.
ParlaMint-NL_2017-11-09-tweedekamer-16.u794	So I conclude that there will be no proactive policy of our Minister of Finance. He will only inform us afterwards if new developments emerge from the negotiations that are now taking place. Will he not therefore actively advocate maintaining that 70%?
ParlaMint-NL_2017-11-09-tweedekamer-16.u795	Mr Baudet is a gifted debater. He's now repeating something I didn't say and putting it in my mouth. It is important to formulate precisely. I tried to finish my answer. I started that answer by saying that they are central bankers sitting at the table and that I would like the ball there to do the work. That's one. Two is that I have repeated that I would like to keep the Chamber well informed of the progress of the process. Three. It seems to me very likely that the previous Finance Minister has interfered in this too, but I did not ask him to do so. For the past one and a half weeks, I haven't done that actively myself. I hope that Mr Baudet can forgive me.
ParlaMint-NL_2017-11-09-tweedekamer-16.u796	So the Minister of Finance doesn't know that yet.
ParlaMint-NL_2017-11-09-tweedekamer-16.u797	No, um...
ParlaMint-NL_2017-11-09-tweedekamer-16.u798	He hasn't asked the previous finance minister yet. So he's gonna ask him?
ParlaMint-NL_2017-11-09-tweedekamer-16.u799	No, I really need to be very precise here. The commitment of the Netherlands is clear, I think. It's also on the table with those central bankers. I would like to see what is to be changed with the Chamber if Mr Baudet wishes. I say right away that you can't always put all your cards on the table while the negotiations are going. That is the complicated thing with negotiations, not just on this dossier but on several dossiers. Mr Baudet will recognize and acknowledge this, because he himself has been involved in negotiations. But I'll find out what's to share and share it with the Chamber.
ParlaMint-NL_2017-11-09-tweedekamer-16.u800	Finally, Mr Baudet.
ParlaMint-NL_2017-11-09-tweedekamer-16.u801	For when?
ParlaMint-NL_2017-11-09-tweedekamer-16.u802	I think we should be able to do that next week, but I should like to make a point. Tomorrow seems like a very short day. We should be able to formulate an acceptable answer.
ParlaMint-NL_2017-11-09-tweedekamer-16.u803	It will therefore not be part of the response you will send us tomorrow. It's gonna be next week.
ParlaMint-NL_2017-11-09-tweedekamer-16.u804	If possible, I'll do it.
ParlaMint-NL_2017-11-09-tweedekamer-16.u805	I'm gonna be okay with this. Thank you.
ParlaMint-NL_2017-11-09-tweedekamer-16.u806	I come to a very brief question from the PVV. When will the letter contain the vision for the future of EMU? The answer is: end of November. I must also give a brief answer to such a short question. Then there is D66's question about implementation. I think it was Mr Snels, who... Faster! Excuse me, but now it's gonna go wrong. I think it was Mr Sneller who specifically asked me to play a role in the implementation. I share that view. I share the view that attention should be paid to implementation. Of course, we look back on the annual accountability. In the case of the intensifications in the coalition agreement, the funds are in principle in the supplementary heading. In particular, Mr Nijboer and I had an exchange of views on this subject. Those funds shall be released on the basis of a spending plan approved by Finance, which shall address the risks in implementation, monitoring and evaluation. Action can then be taken in good time if the demand falls short of expectations and objectives. I would like to say that this subject really has the special interest of the Secretary of State, in his field, and of me. I also imagine that we will continue the dialogue on this issue. Mr Sneller also asked about the General Court. He asked whether there really were the alleged problems regarding the capacity to do the job properly. He also asked when the results will be shared with the Chamber. It is important to say that it is necessary to carry out a thorough analysis of the tasks and resources. That inventory will be carried out by an independent committee. The Ministry of Foreign Affairs is in the process of getting the staff around, in close consultation with the High Colleges of State and with my ministry. As soon as the committee starts, your Chamber will be informed by the Minister of BZK, including the lead time of the investigation. A further question has been asked on an issue which also concerns me, namely the climate. In short, the question was: if more money is needed, can it be? That is complicated, because we have also seen this with each other, and it must also be so that the table is leading. I think there is still a great deal of room in the amounts we have reserved in the coalition agreement to really do a lot for the climate in the coming period. I do not want to go into the what-if scenario at the moment. I hope that the Chamber will understand that, precisely in view of my responsibilities. Then I'll be on the motions. I will try to do so at some pace. Before there's a misunderstanding, we're not done together. We have explicitly discussed that Mr Nijboer should not get rid of it, because he wanted to go on for a long time. I believe he has tabled one motion and one more question. You may never clap over the backrooms from the school, but let me say in the direction of Mr Nijboer that we have looked very carefully at whether we would actually answer enough questions from him and how we would distribute them.
